Company,Ticker,Country,Sector,Industry,Financial_Currency_Normalized,Fiscal_Year_Indicator,Revenue_USD_B,EBITDA_USD_B,EBITDA_Margin_Calculated_Pct,MarketCap_USD_B,EnterpriseValue_USD_B,Data_Quality_Status,Quality_Issues,Revenue_Log_USD_B,Revenue_Log_Standardized,EBITDA_Margin_Standardized,Strategic_Cluster_ID,Model_Number_of_Clusters,Model_Silhouette_Score,Strategic_Cluster_Name,Distance_to_Centroid,Cluster_Representativeness,Revenue_Rank_Inside_Cluster,Margin_Rank_Inside_Cluster,Revenue_Percentile,EBITDA_Percentile,EBITDA_Margin_Percentile,MarketCap_Percentile,EnterpriseValue_Percentile,Revenue_Global_Rank,Margin_Global_Rank,EBITDA_Global_Rank,Scale_Profitability_Score,Scale_Profitability_Rank,Benchmark_Position,EV_to_Revenue,EV_to_EBITDA,Has_Statistical_Outlier,Outlier_Metrics
Transocean,RIG,Switzerland,Energy,Oil & Gas Drilling,USD,2025,4.14,1.564,37.77777777777778,5.688748032,10.682507264,OK,,1.6370530794670737,-0.1570979812879619,1.4669275652027394,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,1.1004598472490326,Outlying Member,2,2,52.17391304347826,73.91304347826086,95.65217391304348,60.0,73.91304347826086,12,2,7,73.91304347826087,2,Above-Market Position,2.580315764251208,6.8302476112531965,False,
NKT,NKT.CO,Denmark,Industrials,Electrical Equipment & Parts,EUR,2025,4.111250882148743,0.7966120862960815,19.37639198218263,,7.308141157592102,OK,,1.6314441652863294,-0.16281525795881396,-0.11772565736643287,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.8477967077956763,Moderately Representative,3,10,47.82608695652174,56.52173913043478,56.52173913043478,,56.52173913043478,13,11,11,52.173913043478265,8,Mid-Market Position,1.7775955219187467,9.174027463695602,False,
Noble,NE,United States,Energy,Oil & Gas Drilling,USD,2025,3.017331968,0.993974976,32.94218158762437,6.621156864,7.915721728,OK,,1.3906179927392834,-0.40829411779958175,1.050505499447013,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.6141552784448485,Highly Representative,4,5,43.47826086956522,60.86956521739131,82.6086956521739,70.0,60.86956521739131,14,5,10,63.04347826086956,5,Above-Market Position,2.62341757948723,7.963703231096233,False,
Oceaneering,OII,United States,Energy,Oil & Gas Equipment & Services,USD,2025,2.80206208,0.393846016,14.055577812180378,4.217229056,4.4576512,OK,,1.3355435721812234,-0.4644325591574969,-0.5759327410527124,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,1.1265948774519972,Outlying Member,5,12,39.130434782608695,30.434782608695656,34.78260869565217,50.0,43.47826086956522,15,16,17,36.95652173913044,11,Below-Market Position,1.5908466953023397,11.318258961390635,False,
Valaris,VAL,Bermuda,Energy,Oil & Gas Drilling,USD,2025,2.213700096,0.5161,23.313907829364798,5.3005312,5.877331456,OK,,1.1674229512004621,-0.6358012186250095,0.2213573467868749,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.31152631986446155,Highly Representative,6,9,34.78260869565217,39.130434782608695,65.21739130434783,55.00000000000001,47.82608695652174,16,9,15,50.0,9,Mid-Market Position,2.654980892226514,11.387970269327651,False,
DOF Group,DOFG.OL,Norway,Industrials,Engineering & Construction,USD,2025,1.952999936,0.683,34.97183934367523,3.0963812838656617,3.244429658253021,OK,,1.0828215810889104,-0.7220370610847551,1.2252914497860585,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.7039918888649652,Moderately Representative,7,4,30.434782608695656,47.82608695652174,86.95652173913044,35.0,30.434782608695656,17,4,13,58.69565217391305,7,Mid-Market Position,1.6612543597405531,4.750263042830192,False,
Seadrill,SDRL,United States,Energy,Oil & Gas Drilling,USD,2025,1.407000064,0.331,23.525229917828916,2.695064832,3.022064896,OK,,0.8783811853900496,-0.9304271821034654,0.23955555382435106,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.3516830234168096,Highly Representative,8,8,26.08695652173913,17.391304347826086,69.56521739130434,25.0,26.08695652173913,18,8,20,47.826086956521735,10,Mid-Market Position,2.1478782932024085,9.130105425981872,False,
Tidewater,TDW,United States,Energy,Oil & Gas Equipment & Services,USD,2025,1.345564032,0.413200992,30.708385641509178,3.77057792,3.778407936,OK,,0.852525898349787,-0.95678198530601,0.8581399904634054,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,0.4117614912157829,Highly Representative,9,6,21.73913043478261,34.78260869565217,78.26086956521739,40.0,34.78260869565217,19,6,16,50.0,9,Mid-Market Position,2.808047663390574,9.144237330388597,False,
TGS,TGS.OL,Norway,Energy,Oil & Gas Equipment & Services,USD,2025,1.317699968,0.6248,47.41595318912537,2.7296617034317014,2.7927157376314544,OK,,0.8405753008195855,-0.9689634646905095,2.2969284083422243,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,1.793001178586836,Outlying Member,10,1,17.391304347826086,43.47826086956522,100.0,30.0,21.73913043478261,20,1,14,58.69565217391305,7,Mid-Market Position,2.119386662709135,4.469775508373006,False,
Helix Energy,HLX,United States,Energy,Oil & Gas Equipment & Services,USD,2025,1.301356032,0.196624,15.10916268608036,1.41192384,1.53558656,OK,,0.8334985283320463,-0.9761769582374132,-0.48520225563050057,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,1.0386062822986455,Outlying Member,11,11,13.043478260869565,13.043478260869565,39.130434782608695,15.0,13.043478260869565,21,15,21,26.08695652173913,12,Below-Market Position,1.1799895818210646,7.809761575392628,False,
Solstad Offshore,SOFF.OL,Norway,Industrials,Marine Shipping,USD,2025,0.334048992,0.120992,36.21983687949581,0.719372821779499,0.5897755307345581,OK,,0.28821867245624366,-1.5319914525626983,1.3327639705442433,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,1.14798801444519,Outlying Member,12,3,8.695652173913043,8.695652173913043,91.30434782608695,10.0,8.695652173913043,22,3,22,50.0,9,Mid-Market Position,1.7655360287228712,4.87450022096137,False,
Reach Subsea,REACH.OL,Norway,Energy,Oil & Gas Equipment & Services,NOK,2025,0.26264048247550964,0.006304090629257262,2.4002737772327603,0.16361529821664333,0.31102108123191835,OK,,0.23320514922489763,-1.5880678200763507,-1.5796405761128522,1,2,0.4225297235691627,Cluster 1 - Low Scale / High Margin,2.273232578800115,Outlying Member,13,13,4.3478260869565215,4.3478260869565215,4.3478260869565215,5.0,4.3478260869565215,23,23,23,4.3478260869565215,13,Lower Relative Position,1.18420845979416,49.33639116615339,False,
